Новочебоксарск,,48.8197327910304,126072,2017,2465.23,1.15,18.3,2.1
Серпухов,32.1,32.2312391886037,124897,2019,3890.87,2.02,7.7,0.8
Щёлково,52,50.0662561067582,124831,2019,2400.6,2.02,7.7,0.8
Новомосковск,74.7,105.148094670087,124787,2018,1670.51,1.54,9.7,0.9
Батайск,77.68,80.4806518215092,124705,2017,1605.37,1.48,13.3,2
Дербент,,34.7584260136351,124677,2019,1790.56,1.48,15.2,2.3
Черкесск,69.8,46.8536795076678,122804,2019,1759.37,1.04,24.5,3.6
Первоуральск,66,87.0244857265031,122183,2019,1851.26,1.85,9.7,1.3
Раменское,59.46,58.6956488282125,119903,2019,2016.53,2.02,7.7,0.8
Назрань,80,59.8115372649615,119842,2019,1498.03,1.05,31.9,5.6
Каспийск,32.94,37.1159511910925,119238,2019,3619.85,1.48,15.2,2.3
Обнинск,50.15,43.9682923935337,118151,2019,2355.95,1.54,10.9,1.1
Орехово-Зуево,36.38,36.3749308462048,118004,2019,3243.65,2.02,7.7,0.8
Кызыл,97.41,,117904,2019,1210.3890770968073,0.88,40.1,9.2
Новый Уренгой,111,42.4961437967376,116938,2019,1053.4954954954956,3.05,6.2,0.8
Невинномысск,80.1,45.0075555846371,116884,2019,1164.22,1.22,13.6,1.9
Димитровград,,41.0242037598867,115253,2018,1118.96,1.32,15.3,1.9
Октябрьский,105.83,4.10501060551441,114194,2019,1155.46,1.54,12.1,1.9
Долгопрудный,30.52,30.3860967167994,112007,2019,3669.95,2.02,7.7,0.8
Ессентуки,50,28.5778972260669,110479,2019,2209.58,1.22,13.6,1.9
Камышин,81,124.780654844225,110318,2019,1361.95,1.35,13.9,1.5
Ногинск,52.09,39.6476150733839,102295,2019,1963.81,2.02,7.7,0.8
Сергиев Посад,50.4,40.5218143464438,101967,2019,2023.15,2.02,7.7,0.8
Муром,43.78,28.8584279072736,109072,2018,2491.37,1.29,12.8,1.3
Евпатория,65,43.9672723490404,107650,2019,1656.15,1.17,17.2,2.3
Северск,485.65,116.431069127992,107494,2018,2213.18,1.45,15.7,2
Реутов,8.89,8.9091939572043,106962,2019,12031.72,2.02,7.7,0.8
Пушкино,60.33,58.4542920555679,106836,2019,1770.86,2.02,7.7,0.8
Артём,,170.06297655203,106460,2019,210.23,1.51,13.9,2
Ноябрьск,38.84,190.989192935151,106135,2019,2732.62,3.05,6.2,0.8
Ачинск,103.21,90.5059527298558,105259,2018,1019.85,1.48,18.2,3
Арзамас,34.32,41.7709588453465,104547,2017,3046.24,1.61,9.5,1.2
Елец,71,53.3897034675513,104349,2018,1476.57,1.76,8.7,1
Бердск,67,72.1477085457453,103290,2017,1541.64,1.55,16,2
Новокуйбышевск,86,88.6569599823049,102933,2017,1196.9,1.56,13.1,1.7
Элиста,92.36,,102618,2019,1111.07,0.99,24.2,3.4
Железногорск,456.6,84.6209637458104,83857,2018,183.65527814279457,1.48,18.2,3
Железногорск,7.62,114.170548119675,100740,2018,899.22,1.6,9.9,1
Зеленодольск,37.73,38.745741852848,99743,2019,2643.6,1.93,7.2,0.8
Ханты-Мансийск,10.54,52.8366591035424,99385,2019,283.34,2.14,10.7,1.4
Тобольск,222,227.147201796339,98857,2019,445.3,1.52,14.7,2.2
Воткинск,112.18,47.8394438849398,98063,2017,874.16,1.43,12,1.3
Сарапул,88,75.5978300424843,97910,2017,1112.6136363636363,1.43,12,1.3
Ленинск-Кузнецкий,128,67.2275733300899,95279,2019,744.37,1.4,15,1.7
Ухта,13200,75.9465673131631,97806,2017,7.409545454545454,1.56,16.5,2.5
Минеральные Воды,51.55,23.2543187800323,74141,2019,1438.23,1.22,13.6,1.9
Серов,418,77.6947489228704,96613,2019,231.13,1.85,9.7,1.3
Междуреченск,332.56,320.074963943359,96159,2019,289.15,1.4,15,1.7
Воскресенск,38.78,43.0866105997291,93205,2019,2403.43,2.02,7.7,0.8
Соликамск,166.55,144.450728215828,93118,2019,559.1,1.5,14.9,2.4
Магадан,295,302.843309809474,91781,2019,311.1263,2.27,11.3,1.3
Саров,232,94.2449166169137,95388,2018,409.76,1.61,9.5,1.2
Гатчина,28.75,32.2518878580579,93710,2019,3259.48,1.55,9.4,0.9
Михайловск,,17.7589436874046,8776,2019,,1.85,9.7,1.3
Елабуга,41.1,41.1233629005968,73913,2019,1798.37,1.93,7.2,0.8
Новоалтайск,72.2,76.9748626828918,73769,2019,1021.73,1.31,17.8,2.7
Михайловск,21,30.1304541394537,93658,2019,4459.9,1.22,13.6,1.9
Глазов,68.27,74.6921272602266,93628,2017,1356.93,1.43,12,1.3
Мичуринск,78,42.8939073327464,93330,2018,1196.54,1.61,10.2,1.1
Великие Луки,60.08,46.5273333367911,90549,2019,1507.14,1.32,17.5,2.2
